ID,User,Date,Tweet
1338243377381453827,uchejx,2020-12-13 22:04:19,@narniasworldd @KimTRILLY Sorry but I'm cackling 🤣🤣🤣
1338243377381449735,cedrickohlanta,2020-12-13 22:04:19,@Hanky_peace @AlbanPellegrin Terrible...
1338243377381351424,smitty195,2020-12-13 22:04:19,@Rebian67 @robertwolf32 @Scaramucci @UPS @FedEx @pfizer @matthewjdowd 2/2 . if he thinks he can get vaccines invent… https://t.co/0J5bcD4nsY
1338243377368870912,GebremeskelGeb8,2020-12-13 22:04:19,The issue of #Tigray isn't an important topic to the @UN's security council BUT is classified under others which mi… https://t.co/vkBiZaFQLi
1338243377364684801,Brother__Bill,2020-12-13 22:04:19,"Always try and respond to all my comments but this ones going crazy 😂 apologize in advance If I miss any of you, ju… https://t.co/m37Mo1mIg1"
1338243377364672512,_damnkarla,2020-12-13 22:04:19,RT @_badassiee: Manifesting a good week ahead.
1338243377364549632,blueyes1181,2020-12-13 22:04:19,"@MoobysPopUp 

I've never heard Kevin Smith's name cursed in public before but.. after Minneapolis.. ah well fuck i… https://t.co/yf8Ik1AG8p"
1338243377352089602,Marteensis,2020-12-13 22:04:19,RT @periodramaz: 14. elizabeth and darcy 439 voti https://t.co/dnEgD9VQcy
1338243377351991296,TyeGrr87,2020-12-13 22:04:19,Yep! There it is! 👏🏽 👏🏽 👏🏽 https://t.co/1KilWh6W20
1338243377347899393,CasmirSpicey,2020-12-13 22:04:19,RT @Henriettaonyii: Mercy said she is in love with herself  * Money Making Machine  * stop shipping my Lambo 🙄🙄 the Only ship that is verif…
1338243377347833861,2seokbesties,2020-12-13 22:04:19,@xyljeno @btsateyourfaves lmao wb disrespecting my religion ?? plsss https://t.co/pCZVD1swtA
1338243377343721472,timis_aldrich,2020-12-13 22:04:19,"RT @boydr2: If a fund was created to provide weapons and supplies for the left, would you donate? I wouldn't want to be in charge of said c…"
1338243377335205889,ohblondii,2020-12-13 22:04:19,Being a bad as bitch on a daily https://t.co/gxDI6b16QD
1338243377326862340,NoEvelynnGf,2020-12-13 22:04:19,I’m scared to finish cyberpunk mannn I don’t wanna
1338243377322749953,DomGoesAfterSub,2020-12-13 22:04:19,"@TommyDoyle47 Might depend when tho, given the last things regarding Chucky that I shall not spoil"
1338243377322713089,crazyG01,2020-12-13 22:04:19,@mrmanyouu Yo you got it right 💯
1338243377314357252,Rumie_,2020-12-13 22:04:19,@jayprivee My angel my lil baby my 🌍  :((
1338243377314344961,NOLANicolee,2020-12-13 22:04:19,Defense acting like a weak ass bitch towards Jalen.
1338243377314279424,WaterEllenM,2020-12-13 22:04:19,"RT @JonnyGeller: With much sadness, I must announce the passing of one the world’s great writers - John le Carré.

https://t.co/hpPFA5nA6D…"
1338243377314271236,aimi_g,2020-12-13 22:04:19,Day 265 of lockdown - and I’m thankful that we’ve been able have a F1 season this year! Only 96 days til next seaso… https://t.co/NOTPXNsVxE
1338243377310162953,denisemlowe6,2020-12-13 22:04:19,@kylegriffin1 They do not deserve this. They were maskless the majority of the time and still are with their supers… https://t.co/zyWeQ8aLAt
1338243377310085122,Garvster467,2020-12-13 22:04:19,"RT @AlexBerenson: And that’s the end of the epidemic. Without those 50% of deaths it’ll be indistinguishable from a bad flu year, though th…"
1338243377305972741,wanniely_trade,2020-12-13 22:04:19,RT @_ElyshaOcaya: Rt for good grades https://t.co/yfRkpRo184
1338243377301753856,Rabidfn,2020-12-13 22:04:19,so is our win gonna come? or does that win just not count???
1338243377301688322,MajorMcBloodnok,2020-12-13 22:04:19,RT @DPhinnemore: The EP will have to give its formal consent to any EU-UK agreement at some point. That means the question of definitive EU…
1338243377297559560,henrique_s0,2020-12-13 22:04:19,RT @slumbersadness: got sum bad news earlier https://t.co/UM5mQii95g
1338243377293373442,AltFawkes,2020-12-13 22:04:19,"RT @grantstern: Republicans don't want democracy, they just want raw power."
1338243377289179136,adambooth74,2020-12-13 22:04:19,@redial999 @johnredwood I do hope so.
1338243377280651265,omi_vt,2020-12-13 22:04:19,@Nethyr_UX I take good care of them
1338243377276612609,kidparadiz,2020-12-13 22:04:19,RT @theestallion: You cannot piss me off with some shit I don’t care about 😂
1338243377276596231,clairetwilliams,2020-12-13 22:04:19,@Isabelwriter Will be fine if you re-wash and tumble dry with the spiky balls. Is it down or synthetic?
